URL,Webserver,CMS,isscrappy
chillsoda.com,GWS,papaya CMS,Y
kick-ass-tube.com,nginx,Nucleus CMS,Y
minecraft-resourcepacks.com,IIS,Magento,N
westgate.com,IIS,Magento,N
storagetechguide.com,nginx,Contao,N
winchesternewsgazette.com,nginx,Nucleus CMS,Y
growthhacker111.com,IIS,Coderity,Y
wayfair.co.uk,Apache,Magento,Y
guineaecuatorialpress.com,IIS,OctoberCMS,N
vomfassusa.com,GWS,Jamroom,N
happy-anniversary.com,Apache,Nucleus CMS,N
k9dogtrainingclub.com,GWS,Coderity,Y
carenotify.com,LiteSpeed Web Server,Magento,N
skinnyexpress.com,IIS,Jamroom,N
rakuten-card.co.jp,nginx,papaya CMS,N
americancraftbeer.com,nginx,Contao,N
curacao.com,nginx,OctoberCMS,Y
homehealthliving.com,LiteSpeed Web Server,Contao,Y
chasabl.com,Apache,Fedora Commons,Y
orcz.com,GWS,Nucleus CMS,N
e-patternscentral.com,GWS,Contao,N
aboundbusiness.com,GWS,Jahia Community Distribution,N
buzzkenya.com,Apache,Magento,N
govine.com,Apache,Nucleus CMS,N
forbesmiddleeast.com,LiteSpeed Web Server,papaya CMS,N
aderant.com,GWS,Coderity,Y
sms-tsunami-warning.com,LiteSpeed Web Server,papaya CMS,Y
oldstylebeer.com,Apache,Contao,Y
integritycompanies.com,nginx,Dotclear,N
ageofgames.net,nginx,Contao,Y
onedio.com,LiteSpeed Web Server,Dotclear,N
minecraftwiki.net,IIS,Dotclear,N
supremecorp.com,LiteSpeed Web Server,Jahia Community Distribution,Y
littlebites.com,GWS,Contao,Y
katherinemaries.com,nginx,papaya CMS,Y
nostarch.com,IIS,Nucleus CMS,Y
healthpages.org,IIS,Fedora Commons,Y
jizz24.com,GWS,Coderity,Y
safetodobusiness.com,GWS,Jamroom,Y
education-world.com,LiteSpeed Web Server,Contao,N
firsthealth.org,IIS,OpenWGA,N
kjaerweis.com,LiteSpeed Web Server,Fedora Commons,N
filmsegodnya.club,Apache,Jahia Community Distribution,N
midkar.com,GWS,OctoberCMS,Y
yourcrochet.com,nginx,Nucleus CMS,N
flammfh.com,nginx,Nucleus CMS,Y
phantompilots.com,nginx,Dotclear,N
afscme31.org,IIS,Coderity,Y
hibiya.moe,nginx,Magento,N
bestdaddyever.blogspot.com,LiteSpeed Web Server,Magento,N
sbomagazine.com,Apache,Nucleus CMS,N
eatmorejelly.com,Apache,Nucleus CMS,N
afandpa.org,IIS,Fedora Commons,Y
oznappies.com,GWS,Contao,N
cifsf.org,IIS,Coderity,N
foxy99.com,Apache,papaya CMS,Y
gormanlc.org,IIS,Magento,Y
cartoonnetworkhq.com,GWS,Contao,N
recyclebycity.com,Apache,papaya CMS,N
training4re.com,LiteSpeed Web Server,OpenWGA,N
tilemill-project.github.io,LiteSpeed Web Server,Jamroom,N
alabamagulfcoastzoo.com,IIS,Coderity,N
fallschurchsports.org,LiteSpeed Web Server,Dotclear,N
decorativelightcovers.com,nginx,OctoberCMS,N
bluecrossmn.com,nginx,Fedora Commons,N
mysteriouschicago.com,nginx,Magento,Y
distrokid.com,GWS,OctoberCMS,Y
lindo.com,Apache,Jahia Community Distribution,N
sachscentral.com,nginx,Magento,N
pilsterphotography.blogspot.com,IIS,Magento,Y
splix.io,Apache,Coderity,Y
soundwayrecords.com,nginx,Magento,Y
NA,LiteSpeed Web Server,Fedora Commons,N
serverpress.com,IIS,papaya CMS,N
theninenine.com,Apache,papaya CMS,Y
smalldollars.com,GWS,Jahia Community Distribution,Y
popmoney.com,IIS,papaya CMS,Y
shoutca.st,nginx,OctoberCMS,Y
samsony.net,GWS,OpenWGA,N
punchstudio.com,Apache,Jahia Community Distribution,N
sobremesastories.com,nginx,Nucleus CMS,N
roxfordmediaministries.org,Apache,Contao,N
eromancer.blogspot.com,LiteSpeed Web Server,Jahia Community Distribution,N
powerco.org,IIS,OctoberCMS,Y
skild.com,nginx,Dotclear,Y
felenasoft.com,LiteSpeed Web Server,Fedora Commons,Y
themade.org,nginx,Magento,Y
eecuonlinebanking.org,GWS,Fedora Commons,N
ccusa.com,LiteSpeed Web Server,Coderity,N
NA,nginx,Magento,N
gorgeflyshop.com,GWS,Nucleus CMS,Y
spectrasonics.net,IIS,Magento,Y
drtuber-free.com,LiteSpeed Web Server,Jamroom,N
thalidomide.ca,nginx,OctoberCMS,N
zxgun.biz,GWS,Coderity,Y
non-24.com,nginx,Fedora Commons,N
anglersall.com,LiteSpeed Web Server,papaya CMS,Y
unitedmags.com,IIS,Magento,Y
openanthropology.org,GWS,Fedora Commons,N
officemaxperks.com,GWS,Contao,N
orage.com,Apache,Contao,N
realmedicalhelp.com,IIS,Dotclear,N
1stnevadalicense.com,nginx,Nucleus CMS,Y
freegoodiesfordesigners.blogspot.co.uk,LiteSpeed Web Server,Contao,N
indygov.org,LiteSpeed Web Server,Contao,N
montana.gov,Apache,OctoberCMS,Y
infinitekind.com,nginx,Nucleus CMS,N
eastmanreference.com,LiteSpeed Web Server,papaya CMS,Y
newburyparkhighschool.net,IIS,Magento,N
lycoming.com,IIS,OctoberCMS,Y
gpen.com,LiteSpeed Web Server,Magento,Y
trionfoconnect.com,nginx,Coderity,Y
gongwer.com,Apache,Nucleus CMS,N
iqb.es,GWS,papaya CMS,Y
kristiwattsministries.com,GWS,Nucleus CMS,N
discountprinterribbons.com,GWS,Contao,N
proalt.com,Apache,Fedora Commons,Y
hematologylibrary.org,GWS,Contao,N
ibge.gov.br,LiteSpeed Web Server,Magento,Y
freezingblue.com,LiteSpeed Web Server,Dotclear,N
theplanets.org,nginx,papaya CMS,N
triptribe.com,Apache,Coderity,N
marcadores.com,GWS,Jahia Community Distribution,Y
thomhartmann.com,nginx,Magento,Y
net.org,nginx,Contao,Y
esopmarketplace.com,IIS,papaya CMS,N
falloutcascadia.com,LiteSpeed Web Server,OpenWGA,N
votewell.info,IIS,Contao,N
e-470.com,Apache,Magento,N
warpedfactor.com,Apache,OctoberCMS,Y
librosysolucionarios.net,IIS,Jamroom,N
javzab.com,IIS,Magento,Y
asti.com,nginx,Dotclear,N
interviewing.io,nginx,Magento,Y
korin.com,GWS,Contao,Y
harvardcrcl.org,Apache,Nucleus CMS,N
nashua.edu,GWS,OpenWGA,Y
suspa.com,GWS,Contao,N
tensix.com,GWS,Jamroom,Y
aflam1.com,nginx,papaya CMS,N
kvc.com.my,nginx,Magento,N
thewheelhaus.com,nginx,Magento,N
daddyslist.com,Apache,Magento,Y
lagrandeobserver.com,Apache,Magento,N
dansville.org,IIS,papaya CMS,Y
nascla.org,IIS,Dotclear,N
myvirtualchild.com,Apache,Contao,N
elizabethsuzann.com,Apache,papaya CMS,N
jrothman.com,IIS,Nucleus CMS,Y
requnix.com,IIS,OpenWGA,Y
aboutflusymptoms.blogspot.com,LiteSpeed Web Server,Jamroom,N
roadstarclinic.com,IIS,OpenWGA,N
thereportertimes.com,LiteSpeed Web Server,Coderity,Y
davidgilmour.com,nginx,papaya CMS,N
exodusrefugee.org,IIS,Dotclear,Y
theraceofgentlemen.com,IIS,Contao,N
mail.bg,nginx,Jamroom,N
nairobiwire.com,IIS,Magento,Y
mydreamvisions.com,LiteSpeed Web Server,Coderity,N
theredrocksamphitheater.com,GWS,Nucleus CMS,N
editpadpro.com,nginx,Jahia Community Distribution,N
kellinsilver.com,IIS,Jamroom,Y
teleport.com,GWS,Nucleus CMS,Y
royalsreview.com,nginx,OctoberCMS,Y
usgovernmentquiz.com,nginx,Fedora Commons,N
autocar.kiev.ua,LiteSpeed Web Server,Magento,N
bendsource.com,Apache,Magento,N
johnchow.com,IIS,Jamroom,N
yliving.com,LiteSpeed Web Server,Contao,Y
kellylaser.com,nginx,papaya CMS,Y
rvresources.com,LiteSpeed Web Server,OpenWGA,Y
emedexpert.com,GWS,papaya CMS,Y
gogadgetx.com,GWS,Jamroom,Y
lovebilly.com,LiteSpeed Web Server,Contao,Y
learningstationmusic.com,Apache,Dotclear,Y
elaw.org,IIS,Jamroom,N
ship.edu,LiteSpeed Web Server,OctoberCMS,N
essentracomponents.com,nginx,Nucleus CMS,Y
chiefskingdomrewards.com,Apache,Magento,Y
westcoastedm.com,Apache,Jahia Community Distribution,Y
backtrack-linux.org,LiteSpeed Web Server,Jahia Community Distribution,N
alephbetapp.com,nginx,Coderity,N
grandrapidsautoauction.com,IIS,Jahia Community Distribution,N
putlocker-4k.com,IIS,OpenWGA,Y
ieccn.org,GWS,Nucleus CMS,N
mbc.net,GWS,OpenWGA,N
metabolon.com,Apache,Magento,N
youzeek.com,Apache,Coderity,N
modernnexus.com,GWS,Magento,N
librarianbyday.net,LiteSpeed Web Server,Contao,N
agricenter.org,GWS,Fedora Commons,N
itools.com,GWS,Contao,N
memesforjesus.com,IIS,Magento,Y
supicket.com,IIS,Contao,Y
ticalc.org,Apache,Jamroom,Y
